[0.05046235],[0.00201758],[0.71447456]
[0.0146157],[0.00030527],[0.7979744]
[0.01027695],[0.00141687],[0.13624725]
[0.0875887],[0.00900203],[0.5292454]
[0.0127951],[0.0027345],[0.2057792]
[0.0085505],[0.00493058],[0.09035609]
[0.0140756],[0.00119005],[0.797438]
[0.02769882],[0.00033721],[0.7601718]
[0.09979669],[0.00707032],[0.42948785]
[0.15427725],[0.0056364],[0.45022878]
[0.00918258],[0.00153312],[0.8254589]
[0.01019125],[0.00135318],[0.8254695]
[0.01607481],[0.00178548],[0.79272187]
[0.01451064],[0.00058031],[0.79641736]
[0.01218288],[0.001213],[0.8037571]
[0.02547012],[0.00346847],[0.7373324]
[0.01948713],[0.00241122],[0.10676941]
[0.00985874],[0.00098449],[0.82764894]
[0.03122452],[0.00126985],[0.7388036]
[0.02739393],[0.00644436],[0.11595038]
[0.01348826],[0.00206296],[0.80099297]
[0.01072922],[0.00563765],[0.08554001]
[0.00923692],[0.00296042],[0.12823775]
[0.01314792],[0.00157345],[0.80164796]
