[0.01917507],[0.0004579],[0.7844816]
[0.01424983],[0.0033023],[0.20589897]
[0.02504831],[0.00071599],[0.7629148]
[0.02090664],[0.00295792],[0.78105384]
[0.01135641],[0.0019538],[0.8110428]
[0.03820004],[0.00033555],[0.7343458]
[0.02746728],[0.0011331],[0.7611083]
[0.03260525],[0.00142699],[0.63129663]
[0.01431413],[0.00102989],[0.24245787]
[0.08360445],[0.00457519],[0.37362984]
[0.03087553],[0.00181264],[0.4598104]
[0.02032054],[0.00125155],[0.411084]
[0.03040162],[0.02106638],[0.53035104]
[0.01858815],[0.0481673],[0.33794898]
[0.1616822],[0.00290775],[0.5631792]
[0.15832281],[0.00382453],[0.5361851]
[0.0873925],[0.0016884],[0.6334644]
[0.02189893],[0.00023865],[0.7661692]
[0.02102977],[0.00090392],[0.7701162]
[0.01459724],[0.00100892],[0.8032314]
[0.11385103],[0.00109044],[0.6151131]
[0.02631134],[0.00679699],[0.32877094]
[0.02145793],[0.00154097],[0.7673994]
[0.19809334],[0.00437012],[0.5346359]
[0.0250406],[0.00064982],[0.7590519]
[0.07252122],[0.00068261],[0.67877686]
[0.14503632],[0.00168046],[0.5522]
[0.07602667],[0.00875499],[0.5611347]
[0.0317441],[0.00079337],[0.75004584]
[0.0525468],[0.00013602],[0.70061505]
[0.06836367],[0.00195306],[0.66984147]
[0.07279127],[0.00013353],[0.669638]
[0.02852407],[0.00265952],[0.68349195]
[0.08946092],[0.0040479],[0.31662312]
[0.02908866],[0.00120425],[0.7607559]
[0.03122401],[0.00866992],[0.21654907]
[0.04724741],[0.00593552],[0.22682667]
[0.05733044],[0.00066007],[0.15921512]
[0.06060108],[0.00794309],[0.2267296]
[0.06347193],[0.00725085],[0.21985152]
[0.01709959],[0.00050497],[0.78834546]
[0.04058376],[0.00138846],[0.7163881]
[0.06084564],[0.00409259],[0.18634626]
[0.06933654],[0.00204241],[0.20757143]
[0.05914989],[0.00060099],[0.30997205]
[0.05938679],[0.00697549],[0.23220308]
[0.02203915],[0.00199315],[0.7751311]
[0.05880558],[0.0056419],[0.26102382]
[0.02280997],[0.00021656],[0.7760781]
[0.02138536],[0.00077483],[0.2312974]
[0.04354605],[0.00147211],[0.6058103]
[0.02664046],[0.00737974],[0.26457232]
